Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
OnlinePajak|ID|Tax|4|3|no|yes|OAuth2/API Key|M|HIGH|Stoplight portal; likely OpenAPI specs
Kledo|ID|Accounting|3|3|no|unknown|Bearer Token|M|MED|60-70K+ users; affordable
Qiscus|ID|CPaaS|4|3|no|unknown|APP ID + Secret Key|M|HIGH|Well-documented SDKs; WhatsApp BSP
WhatsApp Business ID|ID|Messaging|4|5|no|unknown|OAuth 2.0/Bearer|M|HIGH|100M+ ID users
TikTok Ads ID|ID|Advertising|4|4|no|unknown|OAuth 2.0|M|HIGH|Official SDKs (Java/Python/JS)
Telkomsel DigiHub|ID|Telecom|3|5|no|unknown|OAuth2/API Key|M|HIGH|170M subscribers; GSMA Open Gateway
IDCloudHost|ID|Cloud|4|2|no|unknown|API Key|M|MED|REST API; Terraform provider
Traveloka|ID|Travel|3|5|no|unknown|Partner credentials|L|HIGH|150K+ accommodations; Apigee-managed
Tiket.com|ID|Travel|3|3|no|unknown|API credentials|L|MED|Hotel B2B API on Redoc; sandbox
BPJS Kesehatan|ID|Healthcare|3|5|no|unknown|HMAC-SHA256 + Basic Auth|L|MED|240M+ participants; healthcare only
Jobstreet/SEEK|ID|HR|3|4|no|unknown|OAuth 2.0 (GraphQL)|L|MED|GraphQL API; 7-stage certification
# ============================================================
# IRAN
# ============================================================
ZarinPal|IR|Payments|5|4|no|unknown|Merchant ID (UUID)|S|HIGH|REST v4; sandbox; 100+ community repos; 6+ SDKs
Finnotech|IR|Open Banking|4|5|no|unknown|OAuth/API Key|L|HIGH|Gateway to Iran's entire banking system
IDPay|IR|Payments|4|3|no|unknown|X-API-KEY header|S|HIGH|Sandbox via header toggle; 30 repos
NextPay|IR|Payments|3|2|no|unknown|API Key|S|MED|REST + SOAP/WSDL
Pay.ir|IR|Payments|3|2|no|unknown|API Key|S|LOW|Simpler
Digikala (Seller)|IR|Marketplace|3|5|no|unknown|API Key (token)|M|MED|35M+ visitors; Swagger; likely IP-restricted
Kavenegar|IR|SMS/Voice|5|4|no|unknown|API Key|S|HIGH|54+ repos; 7+ languages; best SDK coverage
Melipayamak|IR|SMS|4|3|no|unknown|Username/Password or Token|S|HIGH|REST + SOAP; multi-language SDKs
Ghasedak|IR|SMS|3|3|no|unknown|API Key|S|MED|REST API documented
Bale|IR|Messaging|3|4|no|unknown|Bot token (Telegram-compat)|S|HIGH|35M+ users; banking integration
AloPeyk|IR|Delivery|4|3|no|unknown|JWT Bearer|S|HIGH|SDKs: PHP/Laravel/.NET/Node; sandbox
Moadian|IR|E-Invoice|3|5|no|unknown|RSA key + cert signing|M|HIGH|Mandatory; community SDKs in PHP/Python/C#
Hesabfa|IR|Accounting|3|3|no|unknown|API Key + credentials|M|MED|Cloud accounting; WooCommerce plugin
Arvan Cloud|IR|Cloud|4|4|no|unknown|API Key; S3: HMAC|M|HIGH|CDN/compute/DNS/S3/VOD/K8s; Terraform
Neshan Maps|IR|Maps|4|4|no|unknown|API Key|S|HIGH|10M+ users; directions/geocoding/search
Alibaba.ir|IR|Travel|3|4|no|unknown|API Key/partnership|M|HIGH|#1 OTA; flight search API; 26 repos
Divar (Kenar)|IR|Classifieds|5|5|no|yes|OAuth2 + API Key|M|HIGH|Full OpenAPI spec; auto-gen SDKs in 4 langs; 35M+ users
# ============================================================
# PAKISTAN
# ============================================================
JazzCash|PK|Payments|4|5|no|unknown|HMAC (Merchant+Pass+Hash)|M|HIGH|60M+ users; sandbox; card/mobile/voucher
Easypaisa|PK|Payments|4|4|no|unknown|Base64 + hash key|M|HIGH|40M+ users; Open API Portal; sandbox
Daraz.pk|PK|Marketplace|4|4|no|unknown|API Key + HMAC|M|HIGH|#1 marketplace; Lazada Open Platform; sandbox
1LINK|PK|Payment Infra|3|5|no|unknown|P2P connectivity|L|HIGH|National switch; 37 banks; 1000+ billers
Bank Alfalah|PK|Banking|4|4|no|unknown|OAuth/Token + HMAC|L|HIGH|Most complete PK bank portal; accounts/transfers/QR
NADRA Nishan|PK|Identity/KYC|3|5|no|unknown|Subscription-based|L|HIGH|220M+ citizens; biometric/demographic
NayaPay|PK|Payments|2|2|no|unknown|API credentials|M|MED|Internet Payment Gateway; WooCommerce
HBL|PK|Banking|3|4|no|unknown|Merchant credentials/RSA 4096|M|MED|Payment gateway REST APIs
Allied Bank|PK|Banking|3|3|no|unknown|Unknown (likely OAuth2)|M|MED|Open Banking API announced
JS Bank|PK|Banking|3|2|no|unknown|Registration-based|M|MED|Z-Connect developer portal
Foodpanda PK|PK|Food Delivery|4|4|no|unknown|OAuth 2.0|M|HIGH|Catalog/orders/promos; webhooks
TCS|PK|Logistics|4|5|no|unknown|OAuth 2.0|M|HIGH|#1 courier; Shopify/WooCommerce plugins
Leopards Courier|PK|Logistics|3|3|no|unknown|API Key + API Password|S|MED|1700+ locations; PHP/Laravel library
PostEx|PK|Logistics|3|3|no|unknown|Token-based|S|MED|Instant COD upfront; $7.3M funding
BlueEx|PK|Logistics|2|3|no|unknown|API-based (onboarding)|M|MED|PSX-listed; requires merchant onboarding
Bykea|PK|Logistics/Transport|3|3|no|unknown|Token-based|M|MED|11 endpoints; delivery/billing/tracking
FBR POS|PK|Government/Tax|4|5|no|unknown|FBR registration + SDC|M|HIGH|Mandatory; PKR 1M penalty; RESTful
Telenor PK|PK|Telecom|3|4|no|unknown|Username/password|S|MED|SMS API; Laravel wrapper
Careem PK|PK|Transport|3|3|no|unknown|OAuth 2.0|M|MED|CareemPay still active
# ============================================================
# IRAQ
# ============================================================
ZainCash|IQ|Payments|4|4|no|unknown|JWT (merchant secret)|M|HIGH|Dominant wallet; REST API; sandbox; SDKs
Qi Card|IQ|Payment Infra|4|4|no|unknown|Server key (API key)|M|HIGH|10M+ customers; $100B+ volume; REST + webhooks
Talabat Iraq|IQ|Food Delivery|4|3|no|unknown|OAuth 2.0|M|HIGH|Order/catalog/promo management; webhooks
Careem Iraq|IQ|Transport|3|3|no|unknown|OAuth 2.0|M|HIGH|CareemPay merchant API; 5+ cities
Amwal/PayTabs IQ|IQ|Payments|3|2|no|unknown|Server key/Profile ID|M|MED|Well-documented parent; Iraq coverage limited
Switch Iraq|IQ|Payments|2|3|no|unknown|Token-based|M|MED|No public portal; PCI DSS
Arab Payment Services|IQ|Payments|2|3|no|unknown|Username/password|M|MED|No public portal
3rd-Party SMS (EasySendSMS/BulkSMS)|IQ|SMS|3|3|no|unknown|API Key|S|MED|Covers all 3 Iraqi networks
# ============================================================
# SERBIA
# ============================================================
SEF / eFaktura|RS|E-Invoice|4|4|no|yes|API Key|M|HIGH|MANDATORY; REST + UBL 2.1 XML; Swagger; demo env
Wolt|RS|Food Delivery|4|3|no|unknown|OAuth2/JWT + Basic|M|HIGH|Order/Menu/Drive; sandbox; webhooks
MonriPay|RS|Payments|4|3|no|unknown|SHA512 digest + Token|M|HIGH|Sandbox; multi-currency; regional
Minimax|RS|Accounting|4|3|no|unknown|OAuth/API Key|M|HIGH|30+ REST endpoints; Balkan SMBs
Glovo RS|RS|Food Delivery|3|3|no|unknown|Token/API Key|M|HIGH|120 calls/min/store; staging env
AllSecure|RS|Payments|3|3|no|unknown|Custom|M|HIGH|20+ year track record
Pantheon (Datalab)|RS|ERP|3|4|no|unknown|API Keys + DB|L|HIGH|Dominant ex-Yugoslavia ERP
KupujemProdajem|RS|Classifieds|1|4|no|no|N/A|L|HIGH|4M monthly; no official API; scraping
DExpress|RS|Logistics|2|3|no|unknown|N/A (AfterShip)|L|HIGH|300+ parcel lockers; partner access
Infostud / Poslovi.rs|RS|HR|1|3|no|no|N/A|L|MED|3.2M visitors/mo; no API
# ============================================================
# EGYPT
# ============================================================
ETA e-Invoice|EG|E-Invoice|5|5|no|unknown|OAuth 2.0 + X.509 eSeal|L|HIGH|MANDATORY; 30+ endpoints; PreProd + SIT; Postman
Paymob|EG|Payments|5|5|no|unknown|Secret Key + Public Key + HMAC|L|HIGH|Dominant gateway; cards/wallets/Apple Pay/BNPL; 5 SDKs
Fawry|EG|Payments|4|5|no|unknown|Merchant Code + SHA-256|M|HIGH|40M+ users; staging sandbox; PayAtFawry
Kashier|EG|Payments|4|3|no|unknown|API Key + MID + Secret Key|M|MED|Cards/wallets/installments; PCI DSS L1
PayTabs Egypt|EG|Payments|4|3|no|unknown|Profile ID + Server Key|M|MED|8+ mobile SDKs
Bosta|EG|Logistics|5|3|no|unknown|API Key|S|HIGH|Best logistics API in region; SDKs in 5 langs
Aramex Egypt|EG|Logistics|3|4|no|unknown|SOAP/WSDL + account|L|HIGH|Pan-MENA; SOAP-based
Daftra|EG|ERP|4|4|no|unknown|API Key + OAuth 2.0|M|HIGH|Arabic-first cloud ERP; developer marketplace
Odoo Egypt|EG|ERP|4|4|no|unknown|API Key (Bearer)|M|HIGH|XML-RPC/JSON-RPC/REST
Unifonic|EG|CPaaS|4|4|no|unknown|AppSid (API Key)|S|HIGH|SMS/voice/WhatsApp/push/OTP
CEQUENS|EG|CPaaS|4|3|no|unknown|Bearer Token (OAuth)|S|HIGH|SMS/voice/WhatsApp/Messenger/Apple Business Chat
Jumia Egypt|EG|Marketplace|4|4|no|unknown|HMAC + API Key|L|HIGH|Full seller ops; JumiaPay API
Amazon Egypt|EG|Marketplace|4|4|no|unknown|OAuth 2.0 + AWS IAM|L|HIGH|SP-API; Egypt Marketplace ID
Noon Egypt|EG|Marketplace|3|4|no|unknown|OAuth 2.0 (JWT)|L|HIGH|Catalog/orders/stock; Noon Payments API
OLX Egypt|EG|Classifieds|3|4|no|unknown|OAuth 2.0 + API Key|M|MED|OLX Group Developer Hub
Talabat Egypt|EG|Food Delivery|4|4|no|unknown|OAuth 2.0 -> JWT|L|HIGH|Catalog/orders/POS/webhooks
Uber Egypt|EG|Transport|4|3|no|unknown|OAuth 2.0|M|MED|Global API; Egypt supported
Careem Egypt|EG|Transport|3|3|no|unknown|OAuth 2.0|M|MED|Deep Linking API
Vodafone Egypt|EG|Telecom|3|4|no|unknown|OAuth 2.0|M|MED|Global CAMARA APIs
Wuzzuf|EG|HR|1|4|no|no|N/A|L|MED|#1 job portal; no API
Vezeeta|EG|Healthcare|2|4|no|unknown|API Key|L|MED|5M+ users; partner access
# ============================================================
# ALGERIA
# ============================================================
Chargily Pay|DZ|Payments|5|4|no|unknown|API Key (Public+Secret)|S|HIGH|Best API in Algeria; 10+ SDKs; English docs; webhooks
SATIM|DZ|Payment Infra|3|4|no|unknown|Username+Password+Terminal ID|M|HIGH|Interbank network; GitHub POC exists
Yalidine|DZ|Logistics|4|3|no|unknown|API_ID + API_TOKEN|S|HIGH|Excellent REST API; community SDKs
Dolivroo|DZ|Logistics|4|2|no|unknown|API Key|S|HIGH|Unified aggregator for all Algerian couriers
Maystro Delivery|DZ|Logistics|3|2|no|unknown|Bearer Token|M|HIGH|50 wilayas; webhooks; e-commerce integrations
Chargily Pro|DZ|Telecom/Airtime|4|3|no|unknown|API Key|S|MED|Mobile credit recharge for all operators
ZR Express|DZ|Logistics|3|2|no|unknown|ID + Token|M|MED|Via CourierDZ package
Ouedkniss|DZ|Classifieds|1|5|no|no|N/A|L|MED|17M+ monthly; no API; scraping
Emploitic|DZ|HR|1|3|no|no|N/A|M|MED|#1 job portal; scraping/partnership
# ============================================================
# NIGERIA
# ============================================================
Paystack|NG|Payments|5|5|yes|unknown|Bearer Token (Secret Key)|M|HIGH|20+ resources; existing MCP; SDKs in 5+ langs
Flutterwave|NG|Payments|5|5|yes|unknown|Bearer Token; v4: OAuth2|M|HIGH|150+ countries; existing MCP; Postman
Monnify|NG|Payments|4|4|no|unknown|Bearer Token (API Key+Secret)|S|MED|Reserved accounts/disbursements/bills; sandbox
Interswitch|NG|Payments|3|5|no|unknown|OAuth2 (client credentials)|M|MED|Nigeria's first fintech unicorn; Quickteller
Squad|NG|Payments|4|3|no|unknown|Bearer Token (Secret Key)|S|MED|GTCO; sandbox with sandbox_sk_ prefix
Kuda Bank|NG|Banking|4|4|no|unknown|API Key+Email -> Token (15min)|M|HIGH|Only neobank with full API; 5+ SDKs
Nomba|NG|Payments|5|4|no|yes|OAuth2 (client cred or PKCE)|S|HIGH|OpenAPI spec; Global Payout API
Cowrywise|NG|Investment|4|2|no|unknown|API Key/Bearer Token|S|MED|Embedded investment API; SEC-regulated
Quidax|NG|Crypto|4|2|no|unknown|Bearer Token (API Secret)|S|MED|SEC-licensed; 75+ cryptos
Luno NG|NG|Crypto|5|3|yes|unknown|API Key+Secret (Basic Auth)|S|LOW|Official MCP (luno-mcp); Go/MIT
Termii|NG|CPaaS|5|4|no|unknown|API Key (in body)|S|HIGH|3M+ daily calls; SMS/WhatsApp/Voice/OTP
Sendchamp|NG|CPaaS|5|3|no|unknown|Bearer Token (Access Key)|S|HIGH|Full sandbox; $250 test credits
Paga|NG|Payments|3|3|no|unknown|SHA-512 HMAC + Basic Auth|S|MED|Money transfer/bills/airtime; IP whitelist
Jumia NG|NG|Marketplace|3|4|no|unknown|API Key|S|MED|Seller API + JumiaPay; sandbox
GIG Logistics|NG|Logistics|3|4|no|unknown|API Key (partnership)|S|HIGH|Nigeria's largest courier
Sendbox|NG|Logistics|4|3|no|unknown|API Key|S|HIGH|API-first; full lifecycle; sandbox
Topship|NG|Logistics|3|2|no|unknown|API Key|S|MED|Partners with DHL/FedEx/UPS
SeamlessHR|NG|HR|4|3|no|unknown|API Key/Token|S|HIGH|Africa's leading cloud HR; ISO 27001
Remita|NG|Government|4|4|no|unknown|API Key + Secret Key|S|HIGH|Government payment backbone; sandbox
NIMC (NIN)|NG|Identity|3|5|no|unknown|RSA Private Key|S|HIGH|National ID verification; NDA/MOU required
# ============================================================
# KENYA
# ============================================================
M-Pesa Daraja|KE|Mobile Money|5|5|yes|unknown|OAuth 2.0 (Consumer Key+Secret)|S|HIGH|50M+ users; STK Push/C2B/B2C; 3 existing MCPs
Africa's Talking|KE|CPaaS|5|5|yes|unknown|API Key + Username|M|HIGH|SMS/USSD/Voice/Airtime/Payments; partial MCP only
IntaSend|KE|Payments|4|3|no|unknown|API Token + Publishable Key|S|HIGH|M-Pesa STK Push; SDKs: Python/PHP/Node
Kopokopo|KE|Payments|4|3|no|unknown|OAuth 2.0 (Client ID+Secret)|S|HIGH|STK Push; heavy webhook architecture
PesaPal|KE|Payments|4|3|no|unknown|Bearer Token|S|MED|API 3.0; M-Pesa/Airtel/Visa/MC
Equity Bank (Jenga)|KE|Banking|4|4|no|unknown|OAuth 2.0 + RSA Private Key|S|HIGH|64+ APIs; 6 East African countries
KCB Bank|KE|Banking|2|4|no|unknown|OAuth 2.0|S|LOW|M-Pesa Express primarily
Airtel Money KE|KE|Mobile Money|3|3|no|unknown|OAuth 2.0|S|MED|14+ African countries; sandbox
KRA eTIMS|KE|Government/Tax|4|5|no|unknown|OAuth2 token|L|HIGH|MANDATORY e-invoicing; GavaConnect; Node/PHP SDKs
Jumia Kenya|KE|Marketplace|4|3|no|unknown|API Key|M|HIGH|Seller + JumiaPay; 30 req/3s
Glovo Kenya|KE|Delivery|3|3|no|unknown|Credentials-based|M|HIGH|Order API; staging env; Python/PHP SDKs
Sendy|KE|Logistics|3|3|no|unknown|API credentials|M|HIGH|WooCommerce/PrestaShop/Odoo plugins
Travelstart KE|KE|Travel|3|2|no|unknown|Partnership-based|M|MED|OTA XML schemas
Paystack Kenya|KE|Payments|4|3|no|unknown|Bearer Token|S|MED|M-Pesa via Paystack
Flutterwave Kenya|KE|Payments|4|3|no|unknown|Bearer Token|S|MED|M-Pesa charge type
# ============================================================
# SOUTH AFRICA
# ============================================================
PayFast|ZA|Payments|4|5|no|unknown|Merchant ID+Key+Passphrase (HMAC-MD5)|S|HIGH|Subscriptions/tokenization/refunds; sandbox
Yoco|ZA|Payments|5|4|no|unknown|Bearer Token (sk_test_/sk_live_)|S|HIGH|200K+ merchants; cleanest modern API
Peach Payments|ZA|Payments|4|3|no|unknown|Entity ID+Username+Password|M|MED|Enterprise orchestration; PCI DSS L1
PayGate|ZA|Payments|4|3|no|unknown|PayGate ID+Encryption Key (MD5)|S|MED|PayWeb3 REST + PayHost SOAP
Ozow|ZA|Payments|4|4|no|unknown|Token + SHA512 hash|S|HIGH|Instant EFT; 9+ banks; free first R1M
Nedbank|ZA|Banking|4|4|no|unknown|OAuth 2.0|M|HIGH|Best SA bank API; self-service portal
VALR|ZA|Crypto|5|3|no|unknown|HMAC-SHA512|M|HIGH|Africa's leading exchange; spot/margin/futures
Luno ZA|ZA|Crypto|5|3|yes|unknown|API Key+Secret (Basic Auth)|S|LOW|Official MCP: luno-mcp (13 stars)
MTN MoMo ZA|ZA|Mobile Money|3|3|no|unknown|API Key + OAuth 2.0|S|MED|Pan-African; collections/disbursements
Clickatell|ZA|CPaaS|5|5|no|unknown|API Key/Token|M|HIGH|SA-origin global; SMS+WhatsApp+Chat2Pay; 12+ APIs
BulkSMS|ZA|SMS|4|3|no|unknown|Basic Auth (base64)|S|MED|SA-origin; send/receive/delivery reports
Takealot|ZA|Marketplace|4|5|no|unknown|API Key|S|HIGH|SA's #1 e-commerce; Swagger; seller API
Bob Go|ZA|Logistics|4|3|no|unknown|Auth token|S|HIGH|Multi-courier aggregator; 10+ couriers
Pargo|ZA|Logistics|3|3|no|unknown|Auth Token + Map Token|S|MED|4000+ click-and-collect points
Sage SA|ZA|Accounting|4|5|no|unknown|Basic Auth (base64)|S|HIGH|100+ API services; SA v2.0.0 codebase
SYSPRO|ZA|ERP|3|3|no|unknown|Session-based (Logon->SessionID)|M|MED|OData API; manufacturing/distribution
CIPC|ZA|Government|4|3|no|unknown|OAuth 2.0|S|HIGH|Company/IP registration; APIVerse Hub
SARS eFiling|ZA|Government|2|4|no|unknown|OAuth2 (via ISV)|M|MED|ISV program; SFTP-based
# ============================================================
# TURKEY
# ============================================================
Trendyol|TR|Marketplace|5|5|no|unknown|Basic Auth (API Key+Secret)|M|HIGH|360K sellers; REST; sandbox; docs EN/TR; Postman
Hepsiburada|TR|Marketplace|4|5|no|unknown|HTTP Basic Auth + Merchant ID|M|HIGH|6 sub-APIs; ReadMe docs
n11.com|TR|Marketplace|3|3|no|unknown|API Key+Secret (SOAP)|M|MED|SOAP/XML; community PHP wrappers
Ciceksepeti|TR|Marketplace|3|3|no|unknown|API Key (x-api-key)|M|MED|REST API; sandbox; seller panel ticket
Getir|TR|Grocery/Delivery|3|4|no|unknown|Token/JWT|M|HIGH|C# community library
Yemeksepeti|TR|Food Delivery|3|4|no|unknown|Custom/Bearer|M|HIGH|Dual API: SOAP + REST
Trendyol Yemek|TR|Food Delivery|3|4|no|unknown|Basic Auth|M|HIGH|Docusaurus docs; PHP library
iyzico|TR|Payments|5|5|no|unknown|API Key+Secret (PKI/SHA-1)|S|HIGH|15 SDKs; sandbox; Postman; marketplace/subs
PayTR|TR|Payments|4|4|no|unknown|HMAC-SHA256|S|HIGH|iFrame + Direct API; webhook notifications
Craftgate|TR|Payments|5|3|no|unknown|HMAC-SHA256 signature|S|HIGH|6 SDKs; sandbox; payment orchestration
Param POS|TR|Payments|3|3|no|unknown|Custom + IP whitelist|M|MED|SOAP/REST hybrid; 5 GitHub repos
Papara|TR|Fintech/Wallet|4|4|no|unknown|API Key|S|HIGH|21M users; SDKs: PHP/Java/Android/iOS
Is Bankasi|TR|Banking|4|5|no|unknown|OAuth2/API Key|S|HIGH|40+ APIs; most comprehensive TR bank
Garanti BBVA|TR|Banking|4|4|no|unknown|API Key/OAuth2|S|HIGH|Dual portal; community PHP client
Yapi Kredi|TR|Banking|3|4|no|unknown|OAuth2 (client_credentials)|S|MED|FX/investment rates APIs
Akbank|TR|Banking|3|4|no|unknown|API Key|S|MED|Credit rates/FX/ATM/branch finder
Ziraat Bankasi|TR|Banking|3|5|no|unknown|API Key|S|MED|Largest state bank; Open Banking portal
QNB Finansbank|TR|Banking|3|3|no|unknown|API Key/OAuth2|S|MED|Open Banking + VPOS + e-Invoice
BtcTurk|TR|Crypto|4|3|yes|yes|API Key + HMAC-SHA256|S|HIGH|Swagger docs; Python SDK; borsa-mcp partial
Foriba/Sovos|TR|E-Invoice|4|5|no|unknown|WS-Security/API Token|M|HIGH|#1 e-Fatura integrator; official SDKs; 80B TL/mo
Nilvera|TR|E-Invoice|5|3|no|unknown|OAuth 2.0 (Bearer)|M|HIGH|Best REST API docs; Swagger; e-Fatura/e-Arsiv
Turkcell e-Sirket|TR|E-Invoice|4|3|no|unknown|Bearer Token|M|HIGH|Well-documented REST; test portal
Logo Yazilim|TR|ERP|4|5|no|unknown|OAuth 2.0/API Keys|L|HIGH|Turkey's #1 ERP; j-Platform REST API
Mikro Yazilim|TR|ERP|4|4|no|unknown|API Key + MD5 hash|M|HIGH|Postman collection; demo DB
Uyumsoft|TR|ERP/E-Invoice|3|3|no|unknown|WS-Security/Basic|M|HIGH|Dual-role ERP + GIB integrator
Parasut|TR|Accounting|5|4|no|unknown|OAuth 2.0|M|HIGH|#1 cloud accounting; JSON:API; SDKs
GIB Portal|TR|E-Invoice|2|5|no|unknown|e-Imza / Mali Muhur|L|HIGH|Government e-Fatura; community PHP library
Yurtici Kargo|TR|Logistics|2|4|no|unknown|SOAP WS-Security|M|HIGH|#1 private courier; SOAP; PHP SDKs
Aras Kargo|TR|Logistics|2|4|no|unknown|Username+Password+Customer Code|M|HIGH|7 integration models; PHP/Laravel
MNG Kargo|TR|Logistics|4|4|no|unknown|API Key|S|HIGH|Best courier API in Turkey; IBM API Connect
Surat Kargo|TR|Logistics|2|3|no|unknown|Username+Password|M|MED|Shipment creation/tracking
PTT|TR|Postal|2|4|no|unknown|Customer ID+Password|M|HIGH|SOAP; community PHP SDK
Kolay Gelsin|TR|Logistics|3|3|no|unknown|API Key|S|MED|Integrates Amazon/n11/Shopify
Netgsm|TR|SMS|4|4|no|unknown|Username/Password + IP whitelist|S|HIGH|Official NPM + Laravel packages
Ileti Merkezi|TR|SMS|5|4|no|unknown|API Key + API Hash|S|HIGH|Best DX; SDKs in Go/C#/Node/PHP
JetSMS|TR|SMS|3|3|no|unknown|Username/Password|S|MED|REST/XML/HTTP/SMPP
Turkcell Mesaj Ussu|TR|SMS|3|4|no|unknown|Session token + IP whitelist|S|HIGH|REST API v2; IYS/ETK compliance
Turkcell API Platform|TR|Telecom|3|4|no|unknown|API Key|S|HIGH|SMS/MMS/Call/TTS; 100 free credits/mo
Bulutsantralim|TR|Cloud PBX|4|3|no|unknown|API Key|S|HIGH|GitHub docs; call/CDR/IVR/webhooks
Kolay IK|TR|HR|4|3|no|unknown|Bearer Token|M|HIGH|Only TR HR platform with public API
DoktorTakvimi|TR|Healthcare|4|3|no|unknown|API Key + IP Whitelist|M|HIGH|Turkey's #1 healthcare booking; REST v1.9.2
Turkish Airlines|TR|Travel|4|5|no|unknown|API Key + Secret|S|HIGH|Self-serve; availability/timetable/reservations
Pegasus Airlines|TR|Travel|3|4|no|unknown|OTA credentials + IP whitelist|M|HIGH|NDC 24.1; certification required
Enuygun|TR|Travel|5|4|yes|unknown|OAuth|S|HIGH|Production MCP: 34 endpoints at mcp.enuygun.com
Obilet|TR|Travel|3|4|no|unknown|API Key|M|HIGH|B2B API; 15M monthly; BlaBlaCar acquisition
Udemy|TR|EdTech|4|5|no|unknown|Basic Auth (API Key)|S|HIGH|Turkish-founded; Affiliate + Instructor APIs
Doktar|TR|AgriTech|4|2|no|unknown|API Key|M|HIGH|Weather/satellite/crop; global coverage
Sahibinden.com|TR|Classifieds|1|5|no|no|N/A|L|HIGH|Dominant; explicitly no API; unofficial MCP scraper
Endeksa|TR|Real Estate|2|2|no|unknown|Unknown|M|MED|API & Widget products listed
Hepsiemlak|TR|Real Estate|3|4|no|unknown|API Key (partner)|M|MED|B2B partner API; listing management
# ============================================================
# UAE
# ============================================================
Amazon.ae|AE|Marketplace|4|4|no|unknown|OAuth2|M|HIGH|SP-API; same as global
Noon UAE|AE|Marketplace|2|4|no|unknown|API Key (seller)|M|MED|Seller API restricted
Foodics UAE|AE|POS|4|4|no|unknown|OAuth2|M|HIGH|30K+ restaurants; REST API; marketplace
Emirates NBD|AE|Banking|4|5|no|unknown|OAuth2|L|HIGH|Open banking APIs; sandbox
FAB|AE|Banking|3|5|no|unknown|OAuth2|L|HIGH|Open banking portal
Mashreq Bank|AE|Banking|3|4|no|unknown|OAuth2|M|MED|API marketplace; payment initiation
Network International|AE|Payments|3|4|no|unknown|API Key/OAuth2|L|HIGH|Powers UAE merchant acquiring
Tap Payments|AE|Payments|5|5|no|unknown|API Key + HMAC|S|HIGH|100K+ merchants; 167 GitHub repos; all GCC
PayTabs UAE|AE|Payments|5|4|no|unknown|Profile ID + Server Key|S|HIGH|SDKs: iOS/Android/Flutter; plugins
Amazon Payment Services (PayFort)|AE|Payments|4|5|no|unknown|HMAC-SHA256|M|HIGH|Former PayFort; Tabby/Tamara BNPL
Telr|AE|Payments|4|3|no|unknown|API Key|S|MED|SME focus; UAE/Saudi/India
Checkout.com|AE|Payments|4|4|no|unknown|OAuth2/API Key|S|MED|Global; DIFC licensed; Tamara integration
HyperPay|AE|Payments|3|3|no|unknown|API Key|S|MED|Jordan-born; UAE/KSA/EG
Tabby|AE|BNPL|4|4|no|unknown|API Token|S|HIGH|14M users; $4.5B valuation; REST API
Tamara|AE|BNPL|4|4|no|unknown|API Token|S|HIGH|$1B+ Saudi unicorn; Sharia-compliant
BitOasis|AE|Crypto|3|2|no|unknown|API Key|M|MED|VARA-licensed; REST trading
Aramex|AE|Logistics|3|5|no|unknown|SOAP/API Key|M|HIGH|Dubai HQ; Rate/Shipping/Tracking; SOAP
DHL UAE|AE|Logistics|4|3|no|unknown|API Key|S|MED|Global API; tracking + shipping
FedEx UAE|AE|Logistics|4|3|no|unknown|OAuth2|S|MED|Global API; REST
Emirates Post|AE|Postal|3|3|no|unknown|API Key|M|MED|Tracking + shipment APIs
Fulfillment Bridge|AE|Fulfillment|4|2|no|unknown|API Key|S|MED|Shopify/WooCommerce/Salla
Shipa Freight|AE|Freight|3|3|no|unknown|API Key|M|MED|Agility; instant quotes + booking
Careem|AE|Transport|3|4|no|unknown|OAuth2|L|HIGH|Super-app; rides/food/delivery
RTA Dubai|AE|Transport|3|4|no|unknown|API Key|M|HIGH|Bus/Metro real-time; taxi; Nol
UAE Pass|AE|Government|4|5|no|unknown|OAuth2 (OpenID Connect)|M|HIGH|8M+ users; national digital ID; staging env
Dubai Digital Authority|AE|Government|3|4|no|unknown|OAuth2|L|HIGH|100+ government APIs; iPaaS
Dubai Trade|AE|Government|3|3|no|unknown|API Key|M|MED|Customs + trade docs + port services
Odoo UAE|AE|ERP|4|4|yes|unknown|API Key/JSON-RPC|M|HIGH|Community MCP exists; widely deployed
Wafeq UAE|AE|Accounting|2|3|no|unknown|API Key|M|HIGH|VAT + ZATCA compliance; Arabic-first
Zoho CRM UAE|AE|CRM|5|4|yes|unknown|OAuth2|M|HIGH|Already has MCP; full REST API
Unifonic UAE|AE|CPaaS|4|4|no|unknown|API Key|S|HIGH|SMS/WhatsApp/Voice; full API docs
CEQUENS UAE|AE|CPaaS|4|3|no|unknown|API Key|S|HIGH|SMS/WhatsApp/Voice
Bayt.com|AE|HR|3|4|no|unknown|API Key|M|HIGH|MENA's largest job portal
Bayzat|AE|HR|2|3|no|unknown|API Key|M|HIGH|Payroll + WPS compliance
ZenHR|AE|HR|3|2|no|unknown|API Key|M|MED|Arabic-first HRMS; REST API
Snapchat Marketing API|AE|Advertising|4|4|no|unknown|OAuth2|M|HIGH|>90% GCC youth penetration
