Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
Dostavista (Borzo) API|RU/KZ/UZ|Same-day Delivery|3|3|no|no|Token (X-DV-Auth-Token)|S|MED|Simple REST; sandbox; urban delivery
Pochta Russia API|RU|National Postal|2|5|no|no|OAuth 2.0 + Basic Auth|L|MED|Two separate APIs (Otpravka+Tracking); poor docs; high latency
ATI.su API|RU/KZ/BY|Freight Exchange|3|4|no|no|Token|M|HIGH|#1 CIS freight exchange; 500K+ companies
Shiptor API|RU|Shipping Aggregator|3|2|no|unknown|API Key|M|MED|Multi-carrier aggregation; e-commerce
ApiShip API|RU|Delivery API Aggregator|3|2|no|unknown|Token|M|MED|Single API for 40+ carriers; like EasyPost for RU
Delovye Linii (DL) API|RU|Freight/Parcel Delivery|3|3|no|unknown|API Key|M|MED|Major B2B logistics
PEK API|RU|Freight/Parcel|3|3|no|unknown|API Key|M|MED|Cargo shipments; tracking; calculations
KazPost API|KZ|National Postal|2|3|no|unknown|API Key|M|LOW|Quality variable; tracking + operations
Lardi-Trans API|BY/MD/RU|Freight Exchange|3|3|no|unknown|Token|M|MED|CIS freight exchange; cargo search
HeadHunter API (hh.ru/kz/uz)|RU/KZ/BY/UZ|Job Board|4|5|yes|yes|OAuth 2.0|S|HIGH|Dominant CIS job board; 2 existing MCP servers; OpenAPI/Redoc
SuperJob API|RU|Job Board|3|3|no|no|OAuth 2.0|S|MED|#2 RU job board; simpler than HH
Huntflow API|RU|ATS/Recruiting|4|3|no|no|Personal Token / OAuth 2.0|M|HIGH|Purpose-built recruiting; webhooks; GitHub docs
Potok API|RU|ATS/Recruiting|3|2|no|unknown|Token|M|MED|TalentTech recruiting pipeline
FriendWork API|RU|ATS (agencies)|3|2|no|unknown|Token|M|LOW|Recruiting workflow
1C:ZUP (Payroll/HR)|RU/KZ/BY|Payroll/HR|3|4|no|no|OData Basic Auth|M|MED|Part of 1C ecosystem; payroll/employee data
Enbek.kz|KZ|Government Employment|2|3|no|unknown|Unknown|L|LOW|State employment service; some integration
Yandex Tracker API|RU/KZ/BY|Project Management|4|4|no|no|OAuth 2.0 / IAM Token|M|HIGH|Growing Jira replacement; issues/boards/sprints/webhooks
Kaiten API|RU/KZ/BY|Project Management|4|3|no|no|Bearer Token|M|HIGH|Modern PM; strong API; fast Trello/Jira replacement
Pachca API|RU|Team Messenger|3|2|no|unknown|Token|M|MED|Slack alternative; messages/channels/tasks/webhooks
Weeek API|RU|PM/CRM|3|2|no|unknown|Token|M|LOW|Growing PM platform
YouGile API|RU|Project Management|3|2|no|unknown|Token|M|LOW|Boards/tasks; Telegram integration
ELMA365 API|RU|BPM/Low-code|3|3|no|unknown|Token|M|MED|BPM/process platform
Directum API|RU|Enterprise ECM/BPM|3|3|no|unknown|Token|M|MED|Document management; workflows
Stepik API|RU|Online Courses|3|3|no|unknown|OAuth 2.0|M|MED|Open course platform; courses/lessons/submissions
GetCourse API|RU/KZ/BY|Online Course Platform|3|4|no|no|API Key|M|HIGH|50K+ schools; dominant info-business platform
iSpring API|RU|Corporate LMS|3|3|no|unknown|API Key|M|MED|Corporate LMS; REST API
Bizon365 API|RU|Webinar/Course Platform|3|2|no|unknown|Token|M|MED|Webinars; popular for funnels
JustClick API|RU|Course/Email Platform|3|2|no|unknown|API Key|M|LOW|Info-business; contacts/orders
Yclients API|RU|Online Booking (Beauty/Health)|3|3|no|no|Bearer Token|M|MED|#1 salon booking; beauty/health/sport
Kundelik.kz|KZ|School Management|2|3|unknown|unknown|OAuth|M|LOW|Used by most KZ schools; API unclear
Tilda API|RU/KZ/BY|Website Builder|3|3|no|unknown|API Key|M|MED|Landing pages; export API + webhooks
DocDoc (SberZdorovye)|RU|Doctor Appointments|2|3|no|unknown|Token|M|MED|Partner API for clinic integration; Sber ecosystem
Prodoctorov API|RU|Doctor Reviews/Appointments|2|3|no|unknown|Token|M|MED|Clinic catalog; appointments
Medsenger API|RU|Telemedicine|3|2|no|unknown|Token|M|LOW|Doctor-patient messaging
Yandex Go B2B (Taxi)|RU/KZ/BY/UZ/KG/AM/GE/AZ/TJ/MD|Corporate Ride-hailing|3|4|no|no|OAuth 2.0 / Token|M|HIGH|Corporate taxi; expense automation; two APIs (Fleet+Corporate)
Yandex Routing API|RU/KZ|Route Optimization|3|3|no|unknown|Token|M|HIGH|Vehicle routing; delivery optimization; fleet management
inDrive|KZ/RU|Ride-hailing|1|4|no|no|N/A|XL|LOW|KZ-born; global; no public API
MaximTaxi|RU/KZ/BY/UZ/KG/TJ/GE|Ride-hailing|2|3|no|unknown|Token|M|LOW|Partial driver API; strong in regions
RZD API (Russian Railways)|RU|Rail Transport|3|4|no|unknown|Token|M|MED|Schedules; tickets; station info
Aviasales / Travelpayouts API|RU/KZ/BY/UZ|Flight Search|4|4|no|no|Token (X-Access-Token)|S|HIGH|#1 CIS flight metasearch; prices/calendar/directions; affiliate
Ostrovok API|RU/KZ|Hotel Booking|1|3|no|no|Partner HMAC|L|LOW|Fully closed partner API
Travelline API|RU|Hotel Channel Manager|3|2|no|unknown|Token|M|MED|Hotel inventory management
Bnovo API|RU|Hotel PMS|3|2|no|unknown|Token|M|LOW|Property management; bookings
Aviata.kz|KZ|Flight Booking|2|3|unknown|unknown|Unknown|M|MED|Major KZ flight booking; affiliate API unverified
Air Astana|KZ|National Airline|2|3|no|unknown|NDC API emerging|L|LOW|Airline APIs complex
Chestny ZNAK (CRPT) API|RU/KZ/BY/AM/KG|Product Labeling/Marking|3|5|no|no|OAuth 2.0 + UKEP|XL|HIGH|Mandatory product marking; expanding categories; high barrier
MDLP (Pharma Marking)|RU|Pharmaceutical Labeling|3|3|no|unknown|Certificate|L|MED|Drug tracking within Chestny ZNAK
EGAIS|RU|Alcohol Tracking|1|4|no|no|UTM hardware + UKEP|XL|LOW|Requires physical UTM; not cloud-feasible
Mercury (Veterinary)|RU/EAEU|Veterinary Certification|1|4|no|no|SOAP + UKEP|XL|LOW|Requires Rosselkhoznadzor accreditation
FGIS Zerno|RU|Grain Tracking|3|3|no|unknown|Certificate|L|MED|Mandatory grain movement tracking
nalog.ru (FNS) API|RU|Tax Authority|3|5|no|no|Token / UKEP|L|MED|Receipt verification; INN lookup; EGRUL/EGRIP data
Gosuslugi ESIA|RU|National Digital Identity|3|5|no|no|OAuth 2.0 + GOST crypto|XL|LOW|100M+ accounts; requires GOST cryptography; high barrier
FSSP API|RU|Bailiff/Enforcement Check|3|3|no|unknown|Open (public data)|S|MED|Check enforcement proceedings; public data
CBR API|RU|Central Bank Data|3|3|no|unknown|Open|S|LOW|Exchange rates; bank info; key rate
Zakupki.gov.ru|RU|Government Procurement|3|4|no|unknown|Certificate|L|MED|Government tenders/contracts; FTP bulk data
FedResurs API|RU|Bankruptcy Registry|3|2|no|unknown|Token|M|MED|Bankruptcy cases; financial disclosures
Rosreestr API|RU|Real Estate Registry|2|4|no|unknown|Certificate|L|LOW|Property ownership; cadastral data; complex access
Profitbase API|RU|Real Estate Developer CRM|3|2|no|unknown|Token|M|MED|Apartment catalog; deals; bookings
ExactFarming API|RU|Precision Agriculture|3|2|no|unknown|Token|M|LOW|Field management; satellite imagery
Cropio API|RU|Farm Management|3|2|no|unknown|Token|M|LOW|Field monitoring; weather; NDVI
AgroSignal API|RU|Fleet/Field Agriculture|3|2|no|unknown|Token|M|LOW|Vehicle tracking; field operations
PlanRadar API|RU|Construction Management|3|2|no|unknown|Token|M|LOW|Construction docs; defect tracking
nanoCAD API|RU|CAD Platform|3|2|no|unknown|License|M|LOW|CAD automation; Russian AutoCAD alternative
ATOL Online API|RU|Cloud Fiscalization/OFD|3|4|no|no|Token|M|HIGH|Mandatory online fiscal receipts; REST API
OrangeData API|RU|Cloud Fiscalization|3|3|no|unknown|Certificate + Token|M|MED|Fiscal receipts; alternative to ATOL
Taxcom API|RU|OFD + EDM|3|3|no|unknown|Token / Certificate|M|MED|Combined OFD + EDM
Modulkassa API|RU|Cloud Cash Register|3|2|no|unknown|Token|S|MED|POS operations; receipts; Modulbank group
Ferma API|RU|Cloud Cash Register|3|2|no|unknown|Token|S|LOW|Simple fiscal receipts; developer-friendly
Rekassa.kz|KZ|Mobile Cash Register|3|3|no|unknown|API Key|M|MED|Popular among KZ IP/small business
YandexGPT API|RU/KZ/BY|LLM/AI|4|4|no|unknown|IAM Token|M|HIGH|Yandex LLM; text generation/summarization; growing adoption
GigaChat API (Sber)|RU|LLM/AI|4|4|no|unknown|OAuth 2.0 / Token|M|HIGH|OpenAI-compatible format; Sber's ChatGPT alternative
Yandex SpeechKit|RU/KZ/BY|Speech STT/TTS|4|3|no|unknown|IAM Token|M|MED|Best Russian STT/TTS; streaming; gRPC
Yandex Translate API|RU/KZ/BY|Machine Translation|3|3|no|unknown|IAM Token|M|MED|100+ languages; good CIS language support
Yandex Vision OCR|RU/KZ/BY|OCR/Image Analysis|3|3|no|unknown|IAM Token|M|MED|Document recognition; classification
Salute (Sber AI)|RU|AI (Speech/Vision/NLP)|3|3|no|unknown|Token|M|MED|SmartSpeech; SmartVision; Sber ecosystem
Tinkoff VoiceKit|RU|Speech Recognition|3|3|no|unknown|Token|M|MED|gRPC; high quality Russian speech
Yandex 360 API (Mail/Disk/Calendar)|RU/KZ/BY|Productivity Suite|3|4|no|unknown|OAuth 2.0|M|HIGH|Org management; mail; disk; calendar APIs
Yandex Webmaster API|RU/KZ/BY|SEO|3|3|no|unknown|OAuth 2.0|M|MED|Site indexing; search analytics
RuStore API|RU/KZ/BY|App Store|3|3|no|unknown|API Key|M|MED|Mandatory for RU-sold devices; developer/publishing API
VK Mini Apps|RU/KZ/BY|App Platform|3|3|no|no|VK Bridge|M|MED|Mini app platform; 30M+ users
VK WorkSpace (Myteam)|RU/KZ/BY|Corporate Messenger|3|2|no|unknown|Bot Token|M|LOW|Enterprise messenger + mail + calendar
Senler API|RU/KZ/BY|VK + TG Newsletter|3|2|no|unknown|API Key|M|MED|CIS-specific marketing automation
SaleBot API|RU/KZ/BY|Telegram Sales Funnels|3|2|no|unknown|API Key|M|MED|CRM pipelines; auto-replies; funnels
TGStat API|RU/KZ/BY/UA/UZ|Telegram Analytics|3|3|no|unknown|API Key|M|HIGH|Channel metrics; search; audience overlap; tgstat.ru/docs/api
Combot|RU/KZ/BY|TG Community Management|3|2|no|unknown|Bot API + own analytics|M|MED|Group analytics; auto-moderation; 10M+ groups
TON Connect API|RU/KZ/BY|Crypto Wallet (Telegram)|3|3|no|unknown|Various|M|MED|Self-custodial wallet; dApp integration
CryptoPay Bot API|RU/KZ/BY/UZ|Crypto Payments|3|3|no|unknown|API Key|M|MED|Accept crypto in TG bots; merchant API
Yandex Eda Restaurant API|RU/KZ|Food Delivery|3|4|no|unknown|OAuth 2.0|M|HIGH|Restaurant partner menu/orders/analytics
SBP (via bank APIs)|RU|Instant Payments|2|5|no|no|Varies by bank|N/A|LOW|Not a single API; protocol implemented by banks
EAEU EAC Certificates Registry|RU/KZ/BY/AM/KG|Product Certification|3|3|no|unknown|Open|M|MED|Verify product certifications across EAEU
EAEU Single Window (Customs)|RU/KZ/BY/AM/KG|Customs Declaration|3|4|no|unknown|National customs APIs|L|HIGH|Harmonized customs documentation
Chestny ZNAK KZ (IS MP)|KZ|Product Marking|3|4|no|unknown|Certificate + Token|L|HIGH|Following Russian model; tobacco/footwear/medicines
Marking BY|BY|Product Marking|3|3|no|unknown|Certificate|L|MED|Tobacco/shoes/fur; aligning with EAEU
DamuMed|KZ|Healthcare/EHR|2|3|no|unknown|Certificate|L|LOW|National healthcare system; medical facilities integration
A1 Belarus SMS API|BY|SMS Gateway|3|3|no|unknown|Token|M|MED|Major BY MNO; SMS sending/delivery
MTS BY SMS|BY|SMS Gateway|2|3|no|unknown|SMPP/HTTP Login/Token|M|LOW|SMPP and HTTP API for bulk SMS
Magticom SMS (GE)|GE|SMS Gateway|3|2|no|unknown|Token|M|MED|Largest GE MNO; A2P messaging
SendSMS.ge|GE|SMS Aggregator|3|2|no|unknown|Token|S|LOW|Multi-operator SMS gateway
Viva-MTS SMS (AM)|AM|SMS Gateway|3|2|no|unknown|API Key|M|MED|Largest AM operator
Orange Moldova SMS|MD|SMS Gateway|3|3|no|unknown|API Key|M|MED|Largest MD operator; business SMS
O! Nurtelecom SMS (KG)|KG|SMS Gateway|3|3|no|unknown|API Key|M|MED|Largest KG operator; business SMS
Hoster.by API|BY|Hosting/Domain|3|2|no|unknown|Token|M|LOW|BY market leader; domain management
PS.kz|KZ|Domain Registrar|2|2|no|unknown|API Key|M|LOW|.kz domain management API
2GIS Armenia|AM|Maps/Business Directory|4|2|no|no|API Key|S|MED|Detailed Yerevan maps; same 2GIS platform
2GIS Bishkek|KG|Maps/Business Directory|4|2|no|no|API Key|S|MED|Detailed Bishkek/Osh maps
Minsk Transport (Minsktrans)|BY|Public Transport|3|2|no|unknown|Open (GTFS)|S|LOW|GTFS data; real-time arrivals
BakuBus (AZ)|AZ|Public Transport|2|2|no|unknown|Open (GTFS)|S|LOW|GTFS data for some routes
Tbilisi Transport|GE|Public Transport|2|2|no|unknown|Open (GTFS)|S|LOW|GTFS for bus/metro
e-gov.am|AM|e-Government|1|3|no|no|Certificate/EDS|XL|LOW|EU-funded modernization; no public APIs yet
khidmatrasoni.tj|TJ|e-Government|1|2|no|no|EDS/Certificate|XL|LOW|Growing e-gov; limited API
my.gov.ge|GE|e-Government|1|3|no|no|Certificate/BankID|XL|LOW|No developer program
napr.gov.ge (Public Registry)|GE|Business Registry|1|3|no|no|Partnership required|XL|LOW|No API; authorized partner model
Glovo Express (GE)|GE|Same-day Delivery|3|2|no|unknown|Token|M|MED|Delivery API for businesses
USA2Georgia / OnTrak|GE|Package Forwarding|2|2|no|unknown|Token|S|LOW|US/EU package forwarding; basic tracking
CityPay.io (GE)|GE|Crypto Payment Gateway|3|1|no|unknown|Token|M|LOW|Crypto-to-fiat for merchants
Unison Insurance (GE)|GE|Insurance Marketplace|2|1|no|unknown|Token|M|LOW|Basic insurance comparison API
iiko GE|GE|Restaurant Management|3|2|no|no|Token|M|MED|Same well-documented CIS API
Poster POS GE|GE|Cloud POS|4|2|no|yes|API Key|S|MED|Same global API
Uklon AZ|AZ|Ride-hailing|2|2|no|unknown|Token|M|LOW|Ukrainian origin; business API
Smartup AZ|AZ|Distribution ERP|3|2|no|unknown|Token|M|MED|Uzbek origin; expanding in AZ
Yandex Go KG|KG|Ride-hailing|3|2|no|unknown|OAuth 2.0|M|LOW|Main KG ride-hailing
MaximTaxi KG|KG|Ride-hailing|2|2|no|unknown|Token|M|LOW|Russian-origin; strong in regions
Yandex Go TJ|TJ|Ride-hailing|3|2|no|unknown|OAuth 2.0|M|LOW|Primary TJ ride-hailing
MaximTaxi TJ|TJ|Ride-hailing|2|2|no|unknown|Token|M|LOW|Strong in Dushanbe
Dushanbe City Taxi|TJ|Super-app Taxi|1|2|no|no|N/A|XL|LOW|Part of DC ecosystem; no API
HeadHunter AM (hh.am)|AM|Job Board|4|2|yes|yes|OAuth 2.0|S|MED|Same HH API; well-documented
HeadHunter KG|KG|Job Board|4|2|yes|yes|OAuth 2.0|S|LOW|Same HH API
HeadHunter TJ|TJ|Job Board|4|2|yes|yes|OAuth 2.0|S|LOW|Same HH API
HeadHunter MD|MD|Job Board|4|2|yes|yes|OAuth 2.0|S|LOW|Same HH API
rabota.md|MD|Job Board|1|3|no|no|N/A|L|LOW|#1 MD job board; no API
Viber Bot API (MD)|MD|Messaging/Bots|3|3|no|unknown|Auth Token|M|MED|Most used messenger in Moldova; business bots
Simpals (999.md parent)|MD|Digital Advertising|1|3|unknown|unknown|Unknown|L|LOW|Dominant MD digital group; API unclear
CDEK GE|GE|Courier/Delivery|4|2|no|no|OAuth 2.0|S|MED|Same CDEK API; CIS shipments
OTP Bank Moldova|MD|Banking|2|2|no|unknown|Token|M|LOW|Benefits from OTP Group tech
Daisy Expert (MD fiscal)|MD|Fiscal Devices|3|2|no|unknown|Serial/API|M|LOW|Hardware + software integration
Belgosstrakh (BY)|BY|Insurance|1|3|no|no|N/A|XL|LOW|State insurance monopoly; no API
SolIQ IKPU API|UZ|Product Classification|2|3|no|no|Open/Public|S|MED|IKPU/MXIK code lookup; only partial API
MyTaxi UZ|UZ|Ride-hailing|1|3|no|no|N/A|XL|LOW|Same devs as Express24; no API
Yandex Eats UZ|UZ|Food Delivery|3|3|no|unknown|OAuth 2.0|M|MED|Operating in Tashkent
Oson (UZ payments)|UZ|Payment Services|3|2|no|unknown|API Key|M|LOW|Growing UZ player
Octo (UZ payments)|UZ|Payment Gateway|3|2|no|unknown|Merchant Key|M|MED|Modern API; checkout/recurring
Paylov (UZ)|UZ|Payment Aggregator|3|2|no|unknown|API Key|M|MED|Multi-gateway aggregation
Billz (UZ)|UZ|Retail Payment/POS SaaS|3|2|no|unknown|API Key|M|LOW|Retail tech + payments
TBC Bank UZ|UZ|Banking|3|2|no|unknown|OAuth 2.0|M|MED|Georgian bank; strong API culture from GE parent
Anor Bank (UZ)|UZ|Digital Banking|2|2|unknown|unknown|Unknown|M|LOW|Digital-first; API unclear
Kompetenz (KZ)|KZ|InsurTech Aggregator|3|2|no|unknown|API Key|M|LOW|API-first InsurTech
Freedom Finance Trading API|KZ|Brokerage/Trading|3|3|no|unknown|API Key|M|MED|KZ-based holding; stocks + crypto
Tabys|KZ|Micro-investment|1|2|no|no|N/A|XL|LOW|Consumer app; no B2B API
Qoldau (KZ agritech)|KZ|Agricultural Subsidies|2|3|no|unknown|EDS|L|LOW|Government ag-tech; subsidies
e-Qurylys (KZ)|KZ|Construction Permits|2|2|no|unknown|EDS|L|LOW|Government construction permitting
